trip_distance,rate_code,fare_amount,extra,service_tax,tip_amount,tolls_amount,imp_surcharge,Peak Hour Charges,total_amount,total_amount with night charges,City_location_id,dropoff_location_id,year,month,day,day_of_week,hour_of_day,trip_duration,model,passenger_count,City_longitude,Delhi_latitude,dropoff_longitude,dropoff_latitude,Pickup_city,Pickup_State,Time_Category
4.2,3,2132,8,64,569.9,283.51,77,2,3134,6268,170,143,2022,10,17,Tuesday,4:45 PM,18,AUTO,1,-73.99209,40.695094,-73.955132,40.717156,Amritsar,Punjab,Evening
8.24,4,1968,25,54,5531.532,253.6,82.92,0.8,7915,6332,140,138,2023,10,14,Saturday,8:31 AM,245,AUTO,1,-74.01336,40.702272,-74.01699,40.709245,Aligarh,Uttar Pradesh,Morning
8.7,3,2337,8,43,6153.9,6.73,85.39,1,8634,8634,263,65,2023,4,7,Friday,1:47 PM,295,AUTO,1,-73.989854,40.702666,-73.999213,40.693973,Guwahati,Assam,AfterNoon
8.11,3,1927,22,157,53,72.73,68.02,0.8,2300,1840,138,75,2020,3,10,Friday,9:33 AM,272,MINI,5,-73.944145,40.702737,-73.913985,40.77846,Haora,West Bengal,Morning
7.93,1,1927,6,109,2535,240.81,42.27,1,4860,4860,80,223,2022,11,18,Saturday,12:36 PM,258,MINI,1,-74.011007,40.702744,-73.97727,40.789972,Ranchi,Jharkhand,AfterNoon
8.12,6,1927,3,113,5531.532,107.3,26.18,3.3,7708,25436.4,138,263,2021,10,13,Friday,1:19 AM,297,MINI,2,-74.01159668,40.70290756,-73.972229,40.76314545,Gwalior,Madhya Pradesh,Late_Night
6.58,8,1804,40,134,3953.32,65.72,13.58,0.8,6011,4808.8,164,61,2018,3,7,Tuesday,11:12 AM,199,AUTO,1,-74.010468,40.703142,-73.999873,40.71414,Delhi,Delhi,Morning
5.57,10,1927,20,129,398.52,13.51,82.3,0.8,2570,2056,87,164,2019,3,8,Wednesday,7:59 AM,235,AUTO,1,-74.006924,40.703967,-74.012995,40.705742,Mumbai,Maharashtra,Morning
3.63,7,1804,9,57,467.4,300.61,43.82,3.3,2682,8850.6,186,140,2022,8,8,Tuesday,12:08 AM,291,MINI,3,-74.016847,40.704765,-73.975607,40.748965,Kolkata,West Bengal,Late_Night
8.3,8,2009,34,73,423.12,191.39,5.65,2.5,2736,6840,93,146,2018,9,1,Friday,10:41 PM,107,AUTO,1,-74.009089,40.704779,-73.996267,40.721975,Bangalore,Karnataka,Night
11.64,10,2747,36,137,328,328.9,58.26,2,3635,7270,263,228,2020,6,27,Tuesday,5:56 PM,275,MINI,2,-74.009728,40.705167,-73.970897,40.749307,Chennai,Tamil Nadu,Evening
7.91,9,2255,35,61,464.12,212.35,41.25,3.3,3069,10127.7,170,244,2023,2,26,Sunday,12:50 AM,266,MINI,1,-74.01294708,40.70524216,-73.98070526,40.7422142,Hyderabad,Telangana,Late_Night
4.7,6,1886,23,129,398.52,187.06,27.71,3.3,2651,8748.3,90,238,2022,12,8,Friday,1:40 AM,86,MINI,2,-74.007673,40.705285,-73.974562,40.763668,Pune,Maharashtra,Late_Night
11.01,6,2583,3,124,53,82.43,34.65,3.3,2880,9504,164,182,2018,9,28,Thrusday,3:09 AM,108,AUTO,2,-74.00662,40.70657,-73.979923,40.724555,Ahmedabad,Gujarat,Late_Night
2.62,8,2419,32,82,496.92,130.79,83.29,3.3,3244,10705.2,164,141,2018,3,27,Monday,3:58 AM,65,MINI,1,-74.005385,40.707002,-73.992793,40.750742,Surat,Gujarat,Late_Night
5.15,7,1927,18,94,8.2,171.02,76.85,2,2295,4590,90,87,2020,2,16,Thrusday,7:02 PM,251,SUV,1,-74.105395,40.707137,-74.105402,40.707113,Lucknow,Uttar Pradesh,Evening
20.59,9,4920,43,150,53,181.18,17.27,3.3,5364,17701.2,219,81,2018,5,7,Sunday,12:51 AM,224,MINI,1,-74.003545,40.707399,-73.981312,40.750071,Jaipur,Rajasthan,Late_Night
8.81,1,2952,33,64,697.82,231.29,61.42,1,4040,4040,138,164,2020,6,25,Sunday,3:11 PM,254,MINI,1,-74.004532,40.707465,-73.977908,40.745633,Kanpur,Uttar Pradesh,AfterNoon
9.54,2,2993,48,63,53,255.04,88.52,0.8,3501,2800.8,186,129,2022,2,9,Thrusday,10:21 AM,278,MINI,1,-74.010358,40.707788,-73.975095,40.761328,Mirzapur,Uttar Pradesh,Morning
15.2,6,3731,24,43,15366,390.84,77.27,2.5,19632,49080,161,226,2019,3,8,Wednesday,10:25 PM,283,MINI,1,-74.01278,40.707952,-73.997932,40.760632,Nagpur,Maharashtra,Night
0.3,6,246,33,107,77.9,183.37,88.14,1,735,735,114,79,2019,1,28,Saturday,3:23 PM,58,MINI,1,-74.010163,40.708902,-73.987847,40.749225,Ghaziabad,Uttar Pradesh,AfterNoon
14.6,6,3362,0,78,53,356.71,96.72,0.8,3946,3156.8,229,51,2023,2,9,Thrusday,11:59 AM,220,AUTO,1,-73.958882,40.709567,-73.98527,40.718643,Supaul,Bihar,Morning
11.4,3,3444,49,64,812.62,300.13,95.07,1,4765,4765,138,48,2022,3,8,Wednesday,2:18 PM,24,AUTO,1,-74.01072693,40.71009064,-73.99810028,40.72290039,Vadodara,Gujarat,AfterNoon
16.59,2,6273,34,145,1943.4,125,75.52,0.8,8596,6876.8,48,1,2022,3,6,Monday,10:30 AM,246,MINI,2,-74.008827,40.710565,-73.92766,40.759892,Rajkot,Gujarat,Morning
5.9,10,1763,13,126,373.1,127.59,16.11,0.8,2419,1935.2,264,264,2021,3,4,Saturday,11:35 AM,187,AUTO,1,-74.010905,40.710857,-73.991607,40.748842,Vishakhapatnam,Andhra Pradesh,Morning
15.6,9,3608,19,86,742.1,340.32,13.06,1,4808,4808,142,219,2021,6,25,Sunday,2:43 PM,117,AUTO,5,-74.01589,40.711205,-74.013135,40.715037,Indore,Madhya Pradesh,AfterNoon
5.3,7,1845,37,76,328,392.47,19.32,3.3,2698,8903.4,100,87,2021,9,26,Tuesday,1:27 AM,176,AUTO,1,-74.00844,40.711253,-74.001313,40.731078,Thane,Maharashtra,Late_Night
10.12,9,2665,17,106,6453.42,371.75,13.01,3.3,9626,31765.8,138,237,2022,6,6,Tuesday,1:02 AM,119,MINI,1,-74.016048,40.711303,-73.979268,40.782004,Bhopal,Madhya Pradesh,Late_Night
7.28,9,2132,10,49,549.4,364.57,39.52,2,3144,6288,229,138,2018,10,4,Wednesday,7:54 PM,117,MINI,1,-74.01583,40.711327,-73.980663,40.744378,Pimpri-Chinchwad,Maharashtra,Evening
8.32,1,2255,3,92,472.32,163.74,78.17,0.8,3064,2451.2,79,41,2018,4,26,Wednesday,6:15 AM,32,MINI,1,-74.015955,40.711525,-73.985972,40.763892,Patna,Bihar,Morning
8.95,4,2337,37,72,53,149.13,71.62,1,2720,2720,229,138,2023,6,28,Wednesday,2:25 PM,164,MINI,1,-74.016064,40.711575,-73.983339,40.760979,Bilaspur,Chhattisgarh,AfterNoon
8.9,6,2091,34,107,664.2,343.98,55.37,3.3,3296,10876.8,138,141,2023,8,21,Monday,12:49 AM,245,MINI,3,-73.957591,40.711669,-73.922218,40.776042,Ludhiana,Punjab,Late_Night
8.91,9,2091,1,128,53,275.48,43.92,2.5,2592,6480,132,135,2020,12,24,Sunday,11:57 PM,267,AUTO,1,-74.006251,40.712062,-73.993574,40.741682,agra,Uttar Pradesh,Night
10.23,2,2788,31,49,53,281.58,71.5,2.5,3274,8185,138,163,2019,1,19,Thrusday,9:57 PM,188,AUTO,4,-74.005476,40.71212,-73.997679,40.691125,Madurai,Tamil Nadu,Night
15.67,6,3608,19,99,742.92,190.63,49.67,0.8,4709,3767.2,88,95,2019,4,6,Thrusday,11:12 AM,239,MINI,1,-74.006893,40.712272,-73.989375,40.734032,Jamshedpur,Jharkhand,Morning
5.8,6,2624,15,76,413.28,72.29,64.21,3.3,3265,10774.5,100,7,2022,9,25,Monday,1:04 AM,146,AUTO,2,-73.959008,40.712517,-73.959132,40.712184,Prayagraj,Uttar Pradesh,Late_Night
10.23,7,2706,40,154,665.532,307.34,11.02,2.5,3884,9710,138,161,2022,2,14,Tuesday,8:49 PM,114,AUTO,1,-74.009954,40.712692,-73.998542,40.725977,Nasik,Maharashtra,Night
9.9,7,2911,7,144,688.8,6.44,71.74,3.3,3829,12635.7,48,138,2018,6,4,Sunday,3:11 AM,246,MINI,1,-74.016361,40.712852,-73.984364,40.729531,Faridabad,Haryana,Late_Night
2.3,9,2009,2,61,4353.5,366.78,98.75,2,6891,13782,237,186,2018,10,11,Wednesday,4:06 PM,52,MINI,1,-74.009393,40.712895,-73.980368,40.763825,Meerut,Uttar Pradesh,Evening
8.4,10,3649,38,133,742.1,326.17,54.73,0.8,4943,3954.4,161,75,2023,10,4,Wednesday,6:45 AM,162,AUTO,1,-73.960403,40.713011,-73.92932,40.702702,Jabalpur,Madhya Pradesh,Morning
10.5,5,2583,34,103,53,308.15,8.52,3.3,3090,10197,100,70,2018,2,11,Saturday,12:42 AM,136,AUTO,1,-74.009137,40.713436,-74.002823,40.723428,Kalyan,Maharashtra,Late_Night
9.11,1,2542,16,153,53,229.51,61.98,3.3,3055,10081.5,114,168,2018,8,10,Thrusday,1:32 AM,256,MINI,1,-73.997868,40.713628,-73.989445,40.756853,Vasai-Virar,Maharashtra,Late_Night
6.5,4,1886,1,100,398.52,116.06,78.61,3.3,2580,8514,186,41,2020,11,5,Sunday,3:57 AM,289,MINI,5,-74.00885,40.714063,-73.98377,40.75544,Najafgarh,Delhi,Late_Night
7.4,9,2214,17,68,328,54.51,86.15,3.3,2768,9134.4,246,25,2020,3,15,Wednesday,12:13 AM,217,AUTO,1,-74.000407,40.714337,-74.000503,40.718452,Varanasi,Uttar Pradesh,Late_Night
3.6,9,1845,8,86,382.12,333.81,12,0.8,2667,2133.6,68,140,2021,1,9,Monday,9:25 AM,94,AUTO,6,-73.9972,40.7144,-73.9921,40.7255,Srinagar,Jammu and Kashmir,Morning
8.62,4,2378,12,93,6153.9,135.92,82.23,3.3,8855,29221.5,4,87,2021,3,5,Sunday,12:39 AM,73,MINI,4,-74.010894,40.714426,-73.98337,40.756248,Aurangabad,Maharashtra,Late_Night
9.73,6,2624,41,82,6453.42,100.26,12.2,1,9313,9313,138,163,2018,10,5,Thrusday,12:38 PM,125,AUTO,5,-74.014483,40.71451,-73.982215,40.740178,Dhanbad,Jharkhand,AfterNoon
6.86,1,1968,16,45,16453,235.66,97.3,0.8,18815,15052,231,238,2023,9,13,Wednesday,6:49 AM,186,AUTO,1,-73.99384308,40.71469116,-73.99707031,40.71773148,Amritsar,Punjab,Morning
9.8,6,2870,28,107,681.42,398.64,27.47,0.8,4113,3290.4,90,138,2019,6,27,Tuesday,11:03 AM,178,AUTO,2,-73.991992,40.714875,-73.997173,40.714412,Aligarh,Uttar Pradesh,Morning
9,8,2747,38,129,656,147.13,29.28,2.5,3746,9365,170,138,2019,11,6,Monday,10:23 PM,195,MINI,5,-73.992392,40.71515,-73.971869,40.688143,Guwahati,Assam,Night
12.17,10,2788,34,133,221.4,397.41,26.35,2.5,3600,9000,140,257,2021,5,6,Saturday,8:59 PM,161,MINI,1,-74.009175,40.715537,-73.968962,40.765117,Haora,West Bengal,Night
11.43,2,2993,17,145,53,177.32,39.6,0.8,3425,2740,138,107,2022,8,24,Thrusday,7:38 AM,235,AUTO,1,-74.004736,40.715882,-74.017723,40.705141,Ranchi,Jharkhand,Morning
6.94,10,1968,23,123,423.12,129.38,94.83,2.5,2761,6902.5,237,70,2018,6,4,Sunday,8:12 PM,67,MINI,1,-74.015613,40.715933,-73.97971,40.759842,Gwalior,Madhya Pradesh,Night
26.2,7,5658,34,91,1439.1,26.68,24.7,0.8,7273,5818.4,132,257,2022,11,7,Tuesday,10:52 AM,208,AUTO,5,-73.99578,40.716218,-74.009132,40.72078,Delhi,Delhi,Morning
9.29,2,2829,26,124,345.22,89.83,87.69,1,3502,3502,162,52,2018,3,26,Sunday,12:48 PM,142,MINI,1,-74.00461,40.716322,-74.003732,40.658428,Mumbai,Maharashtra,AfterNoon
0.2,7,246,36,98,53,142.03,49.39,0.8,624,499.2,237,141,2021,4,19,Wednesday,10:57 AM,210,MINI,1,-73.961407,40.716362,-73.994242,40.694847,Kolkata,West Bengal,Morning
10,8,2501,25,157,615.82,86.56,38.12,3.3,3424,11299.2,238,138,2020,8,17,Thrusday,1:49 AM,201,MINI,1,-73.995692,40.716462,-74.006045,40.734662,Bangalore,Karnataka,Late_Night
7.8,10,2337,30,80,496.92,300.41,59.34,2,3304,6608,138,80,2018,11,27,Monday,7:10 PM,118,MINI,2,-73.961598,40.716487,-73.960417,40.674963,Chennai,Tamil Nadu,Evening
9.1,3,2788,35,73,328,344.84,73.56,3.3,3642,12018.6,234,95,2021,11,27,Monday,4:34 AM,220,MINI,1,-74.006545,40.716519,-73.993427,40.752308,Hyderabad,Telangana,Late_Night
4.6,4,2132,28,89,439.52,307.58,7.99,1,3004,3004,236,249,2018,12,8,Friday,12:23 PM,113,MINI,2,-74.01361847,40.71653366,-73.94696808,40.77207565,Pune,Maharashtra,AfterNoon
18.01,3,6560,28,155,15353.12,262.1,60.59,2.5,22419,56047.5,231,132,2020,3,8,Wednesday,8:27 PM,276,AUTO,1,-74.014917,40.716612,-73.989222,40.743197,Ahmedabad,Gujarat,Night
9.32,9,2460,18,148,53,169.31,38.56,0.8,2887,2309.6,138,68,2022,8,10,Thrusday,5:14 AM,44,MINI,5,-73.98441,40.716667,-73.922238,40.767287,Surat,Gujarat,Morning
5.8,3,2091,44,104,323.9,246.93,0.61,0.8,2810,2248,45,263,2022,11,18,Saturday,5:44 AM,111,MINI,2,-74.01197052,40.71670914,-73.98500061,40.72793961,Lucknow,Uttar Pradesh,Morning
6.3,8,1804,21,131,53,95.82,67.76,2.5,2173,5432.5,4,239,2020,7,8,Saturday,10:55 PM,166,MINI,1,-74.004068,40.716719,-73.939667,40.844999,Jaipur,Rajasthan,Night
11.3,3,4100,25,143,927.42,394.81,87.19,1,5677,5677,138,233,2018,9,25,Monday,12:37 PM,149,AUTO,1,-74.00145,40.717487,-74.017455,40.709785,Kanpur,Uttar Pradesh,AfterNoon
9.72,1,2214,16,142,558.42,246.28,10.35,2,3187,6374,138,229,2018,2,5,Sunday,4:25 PM,94,AUTO,1,-74.000338,40.717538,-74.00771,40.705213,Mirzapur,Uttar Pradesh,Evening
3.59,8,1763,0,57,365.72,98.01,15.09,2,2299,4598,164,43,2022,9,26,Tuesday,4:03 PM,39,MINI,1,-74.01048279,40.71766663,-73.98577118,40.66036606,Nagpur,Maharashtra,Evening
4.04,2,1927,46,47,414.92,51.19,50.43,0.8,2537,2029.6,186,262,2018,9,20,Wednesday,5:17 AM,101,MINI,1,-74.005752,40.717735,-73.962639,40.766952,Ghaziabad,Uttar Pradesh,Morning
12.5,2,3362,50,129,856.9,189.81,21.98,3.3,4610,15213,74,138,2018,3,25,Saturday,1:45 AM,45,AUTO,6,-73.999877,40.717883,-73.995689,40.68743,Supaul,Bihar,Late_Night
12.05,8,2952,27,158,611.72,207.24,23.91,0.8,3980,3184,132,61,2022,2,17,Friday,5:26 AM,107,MINI,1,-73.957675,40.717887,-73.942583,40.686397,Vadodara,Gujarat,Morning
13.71,5,3813,9,92,8753.532,150.13,37.3,3.3,12855,42421.5,138,158,2018,5,1,Monday,12:36 AM,118,AUTO,2,-73.988492,40.717977,-73.97818,40.737407,Rajkot,Gujarat,Late_Night
6.5,1,2337,33,98,496.1,49.49,14.53,0.8,3028,2422.4,48,80,2020,3,6,Monday,5:34 AM,116,MINI,1,-73.987114,40.71832,-73.952986,40.772092,Vishakhapatnam,Andhra Pradesh,Morning
3.5,3,1845,26,156,389.5,349.99,81.62,0.8,2848,2278.4,162,236,2023,9,24,Sunday,9:18 AM,248,AUTO,1,-74.000405,40.71857,-74.00004,40.726592,Indore,Madhya Pradesh,Morning
11.01,9,2624,22,142,6453.42,197.03,17.98,0.8,9456,7564.8,138,230,2019,2,6,Monday,7:53 AM,124,MINI,1,-73.987285,40.718622,-73.959295,40.778482,Thane,Maharashtra,Morning
15.53,5,3649,49,130,928.24,42.12,38.22,0.8,4837,3869.6,132,145,2021,3,8,Wednesday,10:56 AM,15,AUTO,1,-74.002462,40.718762,-74.007071,40.705536,Bhopal,Madhya Pradesh,Morning
8.86,8,2091,23,142,549.4,373.18,22.82,2,3201,6402,137,228,2018,3,7,Tuesday,6:41 PM,253,AUTO,1,-74.004978,40.719012,-74.006807,40.706832,Pimpri-Chinchwad,Maharashtra,Evening
18.2,9,5617,25,103,53,212.3,3.88,2.5,6014,15035,162,1,2019,6,17,Saturday,10:34 PM,28,AUTO,1,-73.990532,40.719085,-73.990532,40.719085,Patna,Bihar,Night
12.3,9,3075,29,123,387.534,248.13,76.49,2.5,3939,9847.5,231,127,2019,6,15,Thrusday,9:28 PM,66,SUV,2,-74.004845,40.71913,-73.980996,40.693537,Bilaspur,Chhattisgarh,Night
10.9,4,3690,19,55,1148,351.03,13.64,3.3,5277,17414.1,132,265,2020,1,4,Wednesday,4:38 AM,24,AUTO,1,-74.008083,40.719238,-73.99832,40.737977,Ludhiana,Punjab,Late_Night
11.5,1,2665,32,100,561.7,355.05,35.02,1,3749,3749,132,138,2021,4,16,Sunday,12:05 PM,253,MINI,2,-74.002185,40.719517,-73.974876,40.756321,agra,Uttar Pradesh,AfterNoon
18.24,4,4346,24,46,328,374.82,6.64,1,5125,5125,138,165,2023,3,25,Saturday,2:54 PM,156,AUTO,1,-73.993112,40.719911,-73.956729,40.720723,Madurai,Tamil Nadu,AfterNoon
9.25,10,3198,47,44,747.532,139.3,27.87,2.5,4204,10510,138,48,2022,9,26,Tuesday,10:37 PM,107,MINI,1,-74.00462341,40.71994781,-73.97566223,40.78200531,Jamshedpur,Jharkhand,Night
3.82,4,1845,31,82,478.536,5.74,84.6,2.5,2527,6317.5,236,68,2019,12,20,Wednesday,8:46 PM,73,AUTO,1,-73.997265,40.719963,-73.994268,40.754212,Prayagraj,Uttar Pradesh,Night
11.9,4,2788,48,144,53,365.26,14.53,2,3413,6826,132,138,2023,3,30,Thrusday,8:00 PM,42,SUV,1,-73.993309,40.719976,-74.040465,40.725234,Nasik,Maharashtra,Evening
14.7,6,3403,3,73,787.2,102.46,68.85,2.5,4438,11095,138,13,2019,11,6,Monday,9:44 PM,95,AUTO,1,-73.98956299,40.72008514,-73.99205017,40.7312088,Faridabad,Haryana,Night
6.36,5,1763,41,140,467.4,28.14,36.2,0.8,2476,1980.8,161,261,2021,5,21,Sunday,7:08 AM,67,AUTO,1,-73.989142,40.720105,-73.988777,40.720662,Meerut,Uttar Pradesh,Morning
